"doy","pond","site_id","vertical_m","odo_mgL","odo_sat","temp_c","barometer","sp_cond","tds","chla_RFU","chla_ugL","pc_RFU","pc_ugL"
150,"B","B1",1.258,12.18,139.1,21.8333333333333,737.9,281.4,183,4.73,18.95,-0.03,-0.13
150,"B","B1",1.266,12.14,138.6,21.8333333333333,737.9,282.4,184,4.26,17.1,-0.02,-0.12
150,"B","B1",1.273,12.07,137.7,21.7777777777778,737.9,283.3,184,4.66,18.67,-0.01,-0.12
150,"B","B1",1.273,12,136.8,21.7777777777778,737.9,284.3,185,4.97,19.92,0,-0.11
150,"B","B1",1.296,11.87,135.4,20.6666666666667,737.9,284.8,185,4.97,19.92,0.01,-0.1
150,"B","B1",1.3,11.72,133.6,20.5555555555556,737.9,292.5,190,4.97,19.92,0.02,-0.1
150,"B","B1",1.313,12.09,134.8,20.5555555555556,737.9,293.8,191,4.97,19.92,0.03,-0.09
150,"B","B1",1.319,12.08,134.4,20.5555555555556,737.9,294.7,192,4.97,19.92,0.05,-0.08
150,"B","B1",1.32,12,133.5,20.5555555555556,737.9,295.6,192,4.97,19.92,0.06,-0.07
150,"B","B2",0.049,12.17,142,23,737.9,269.9,175,0.86,3.69,-0.07,-0.16
150,"B","B2",0.057,12.18,142,23,737.9,269.9,175,0.87,3.72,-0.07,-0.15
150,"B","B2",0.069,12.19,142.1,23,737.9,270,175,0.88,3.77,-0.06,-0.15
150,"B","B2",0.094,12.2,142.2,23,737.9,270,175,0.88,3.78,-0.06,-0.15
150,"B","B2",0.106,12.2,142.3,22.9444444444444,737.9,270,175,0.89,3.79,-0.06,-0.15
150,"B","B2",0.113,12.21,142.4,22.9444444444444,737.9,270,175,0.89,3.8,-0.07,-0.15
150,"B","B2",0.129,12.22,142.5,22.9444444444444,737.9,270,175,0.89,3.8,-0.07,-0.15
150,"B","B2",0.141,12.23,142.6,22.9444444444444,737.9,270,175,0.89,3.81,-0.06,-0.15
150,"B","B2",0.148,12.24,142.7,22.9444444444444,737.9,270,175,0.89,3.8,-0.06,-0.15
150,"B","B2",0.158,12.24,142.7,22.9444444444444,737.9,270,176,0.9,3.83,-0.06,-0.15
150,"B","B2",0.179,12.25,142.8,22.9444444444444,737.9,270,176,0.91,3.88,-0.06,-0.15
150,"B","B2",0.189,12.26,142.9,22.9444444444444,737.9,270,176,0.91,3.89,-0.06,-0.15
150,"B","B2",0.201,12.27,143,22.9444444444444,737.9,270,176,0.92,3.93,-0.05,-0.15
150,"B","B2",0.222,12.27,143,22.9444444444444,737.9,270,176,0.93,3.95,-0.04,-0.14
150,"B","B2",0.232,12.28,143.1,22.9444444444444,737.9,270,176,0.95,4.03,-0.04,-0.14
150,"B","B2",0.242,12.29,143.2,22.9444444444444,737.9,270,176,0.96,4.06,-0.04,-0.14
150,"B","B2",0.26,12.3,143.3,22.9444444444444,737.9,270.1,176,0.97,4.1,-0.04,-0.14
150,"B","B2",0.267,12.3,143.3,22.8888888888889,737.9,270.1,176,0.98,4.15,-0.04,-0.14
150,"B","B2",0.274,12.31,143.3,22.8888888888889,737.9,270.1,176,1.01,4.26,-0.04,-0.14
150,"B","B2",0.284,12.31,143.4,22.8888888888889,737.9,270.1,176,1.02,4.32,-0.04,-0.14
150,"B","B2",0.302,12.32,143.4,22.8888888888889,737.9,270.1,176,1.03,4.36,-0.03,-0.13
150,"B","B2",0.306,12.33,143.5,22.8888888888889,737.9,270.1,176,1.04,4.41,-0.03,-0.13
150,"B","B2",0.316,12.33,143.5,22.8888888888889,737.9,270.1,176,1.08,4.53,-0.03,-0.13
150,"B","B2",0.343,12.34,143.6,22.8333333333333,737.9,270.2,176,1.09,4.58,-0.03,-0.13
150,"B","B2",0.354,12.34,143.6,22.8333333333333,737.9,270.2,176,1.1,4.64,-0.03,-0.13
150,"B","B2",0.367,12.35,143.7,22.8333333333333,737.9,270.2,176,1.12,4.69,-0.04,-0.13
150,"B","B2",0.388,12.35,143.7,22.8333333333333,737.9,270.2,176,1.15,4.83,-0.04,-0.13
150,"B","B2",0.398,12.36,143.8,22.8333333333333,737.9,270.2,176,1.17,4.89,-0.04,-0.14
150,"B","B2",0.405,12.37,143.8,22.7777777777778,737.9,270.2,176,1.18,4.95,-0.04,-0.13
150,"B","B2",0.424,12.38,143.8,22.7777777777778,737.9,270.3,176,1.2,5.01,-0.03,-0.13
150,"B","B2",0.437,12.38,143.9,22.7777777777778,737.9,270.3,176,1.23,5.13,-0.04,-0.13
150,"B","B2",0.45,12.39,143.9,22.7777777777778,737.9,270.2,176,1.25,5.21,-0.04,-0.13
150,"B","B2",0.463,12.39,144,22.7777777777778,737.9,270.2,176,1.26,5.27,-0.03,-0.13
150,"B","B2",0.487,12.4,144,22.7222222222222,737.9,270.2,176,1.28,5.35,-0.02,-0.13
150,"B","B2",0.496,12.4,144,22.7222222222222,737.9,270.2,176,1.33,5.52,-0.02,-0.12
150,"B","B2",0.508,12.41,144.1,22.7222222222222,737.9,270.2,176,1.35,5.61,-0.02,-0.12
150,"B","B2",0.535,12.42,144.1,22.7222222222222,737.9,270.2,176,1.37,5.7,-0.01,-0.12
150,"B","B2",0.547,12.43,144.2,22.6666666666667,737.9,270.2,176,1.39,5.78,-0.01,-0.12
150,"B","B2",0.559,12.43,144.2,22.6666666666667,737.9,270.2,176,1.43,5.95,-0.01,-0.12
150,"B","B2",0.582,12.44,144.2,22.6666666666667,737.9,270.2,176,1.46,6.03,-0.01,-0.12
150,"B","B2",0.595,12.44,144.3,22.6666666666667,737.9,270.1,176,1.48,6.12,-0.01,-0.12
150,"B","B2",0.603,12.45,144.3,22.6111111111111,737.9,270.1,176,1.49,6.19,0,-0.11
150,"B","B2",0.628,12.46,144.3,22.6111111111111,737.9,270.1,176,1.54,6.38,0,-0.11
150,"B","B2",0.643,12.46,144.4,22.6111111111111,737.9,270.1,176,1.57,6.47,0,-0.11
150,"B","B2",0.654,12.47,144.4,22.5555555555556,737.9,270.1,176,1.59,6.57,0,-0.11
150,"B","B2",0.67,12.48,144.5,22.5555555555556,737.9,270.1,176,1.61,6.66,0.01,-0.11
150,"B","B2",0.697,12.49,144.5,22.5555555555556,737.9,270.1,176,1.66,6.85,0.01,-0.1
150,"B","B2",0.705,12.5,144.6,22.5555555555556,737.9,270.1,176,1.69,6.94,0.01,-0.1
150,"B","B2",0.716,12.5,144.6,22.5,737.9,270.1,176,1.71,7.02,0.02,-0.1
150,"B","B2",0.734,12.51,144.7,22.5,737.9,270.1,176,1.73,7.11,0.02,-0.1
150,"B","B2",0.741,12.52,144.8,22.5,737.9,270.1,176,1.77,7.27,0.03,-0.09
150,"B","B2",0.753,12.53,144.8,22.4444444444444,737.9,270.1,176,1.78,7.32,0.03,-0.09
150,"B","B2",0.769,12.54,144.9,22.4444444444444,737.9,270.1,176,1.8,7.4,0.03,-0.09
150,"B","B2",0.776,12.55,144.9,22.4444444444444,737.9,270.1,176,1.82,7.46,0.04,-0.09
150,"B","B2",0.78,12.56,145,22.4444444444444,737.9,270.1,176,1.83,7.52,0.04,-0.09
150,"B","B2",0.786,12.57,145,22.3888888888889,737.9,270.1,176,1.87,7.66,0.04,-0.08
150,"B","B2",0.801,12.58,145.1,22.3888888888889,737.9,270.1,176,1.88,7.71,0.05,-0.08
150,"B","B2",0.807,12.59,145.2,22.3888888888889,737.9,270.1,176,1.89,7.76,0.04,-0.08
150,"B","B2",0.814,12.6,145.2,22.3333333333333,737.9,270.1,176,1.91,7.82,0.05,-0.08
150,"B","B2",0.832,12.6,145.3,22.3333333333333,737.9,270,176,1.94,7.95,0.05,-0.08
