doy,pond,site_type,site_id,p_foliosus,p_nodosus,depth_m,canopy_m,canopy_flag,biomass_g,biomass_flag
199,F,Biomass,F1,1,0,NA,NA,,6.9,
199,F,Biomass,F2,1,0,NA,NA,,48.3,
199,F,Biomass,F3,1,1,NA,NA,,14.6,
199,F,Biomass,F4,1,1,NA,NA,,38.1,
199,F,Biomass,F5,1,0,NA,NA,,18.2,
199,F,Biomass,F6,0,1,NA,NA,,53.7,
199,F,Biomass,F7,0,1,NA,NA,,12.9,
199,F,Biomass,F8,1,0,NA,NA,,45.7,
199,F,Biomass,F9,1,1,NA,NA,,43.1,
199,F,Biomass,F10,1,1,NA,NA,,42.4,
199,F,Biomass,F11,1,0,NA,NA,,78.2,
199,F,Biomass,F12,1,1,NA,NA,,32.2,
199,F,Biomass,F13,1,1,NA,NA,,12.3,
199,F,Biomass,F14,1,0,NA,NA,,41.3,
199,F,Biomass,F15,1,1,NA,NA,,25,
199,F,Biomass,F16,0,1,NA,NA,,33.4,
199,F,Biomass,F17,0,1,NA,NA,,64.6,
199,F,Biomass,F18,0,1,NA,NA,,50.6,
199,B,Biomass,B1,0,1,NA,NA,,37.2,
199,B,Biomass,B2,1,1,NA,NA,,27,
199,B,Biomass,B3,0,1,NA,NA,,70.5,
199,B,Biomass,B4,0,1,NA,NA,,38,
199,B,Biomass,B5,0,0,NA,NA,,0,b
199,B,Biomass,B6,1,1,NA,NA,,29.4,
199,B,Biomass,B7,1,1,NA,NA,,17.2,
199,B,Biomass,B8,1,0,NA,NA,,0.5,
199,B,Biomass,B9,0,1,NA,NA,,20.1,
199,B,Biomass,B10,1,1,NA,NA,,36.1,
199,B,Biomass,B11,1,0,NA,NA,,1.5,
199,B,Biomass,B12,0,1,NA,NA,,25.7,
199,B,Biomass,B13,0,1,NA,NA,,39.2,
199,B,Biomass,B14,1,1,NA,NA,,13.9,
199,B,Biomass,B15,0,1,NA,NA,,19.3,
199,B,Biomass,B16,0,1,NA,NA,,22.2,
199,B,Biomass,B17,0,1,NA,NA,,49.3,
199,B,Biomass,B18,0,1,NA,NA,,8.8,
206,F,Canopy,F19,1,0,1.6,1.6,,NA,
206,F,Canopy,F20,1,0,1.5,1.2,,NA,
206,F,Canopy,F21,1,1,1.05,1.05,,NA,
206,B,Canopy,B19,0,0,1.7,0,b,NA,
206,B,Canopy,B20,0,0,1.5,0,b,NA,
206,B,Canopy,B21,0,1,1.1,1.1,,NA,
213,F,Canopy,F19,1,0,1.8,1.8,,NA,
213,F,Canopy,F20,0,0,1.45,0,b,NA,
213,F,Canopy,F21,1,1,1.05,1.05,,NA,
213,B,Canopy,B19,0,0,1.6,0,b,NA,
213,B,Canopy,B20,0,0,1.4,0,b,NA,
213,B,Canopy,B21,0,1,1.1,1.1,,NA,
213,F,Biomass,F1,1,1,NA,NA,,75.6,
213,F,Biomass,F2,1,0,NA,NA,,6.4,
213,F,Biomass,F3,1,1,NA,NA,,16.1,
213,F,Biomass,F4,1,1,NA,NA,,34.6,
213,F,Biomass,F5,1,0,NA,NA,,7,
213,F,Biomass,F6,1,1,NA,NA,,85.5,
213,F,Biomass,F7,1,1,NA,NA,,45.3,
213,F,Biomass,F8,1,0,NA,NA,,31.8,
213,F,Biomass,F9,1,0,NA,NA,,34,
213,F,Biomass,F10,1,1,NA,NA,,22,
213,F,Biomass,F11,1,0,NA,NA,,31.1,
213,F,Biomass,F12,1,1,NA,NA,,63.9,
213,F,Biomass,F13,1,1,NA,NA,,32.9,
213,F,Biomass,F14,1,0,NA,NA,,35.2,
213,F,Biomass,F15,1,1,NA,NA,,47.3,
213,F,Biomass,F16,0,1,NA,NA,,54.7,
213,F,Biomass,F17,0,1,NA,NA,,78.9,
213,F,Biomass,F18,1,1,NA,NA,,32.9,
213,B,Biomass,B1,0,1,NA,NA,,51.4,
213,B,Biomass,B2,1,1,NA,NA,,32,
213,B,Biomass,B3,0,1,NA,NA,,47.4,
213,B,Biomass,B4,1,1,NA,NA,,53.4,
213,B,Biomass,B5,0,0,NA,NA,,0,b
213,B,Biomass,B6,0,1,NA,NA,,56.8,
213,B,Biomass,B7,1,1,NA,NA,,38.5,
213,B,Biomass,B8,0,0,NA,NA,,0,b
213,B,Biomass,B9,1,1,NA,NA,,11.8,
213,B,Biomass,B10,1,1,NA,NA,,58.5,
213,B,Biomass,B11,0,0,NA,NA,,0,b
213,B,Biomass,B12,1,1,NA,NA,,13.1,
213,B,Biomass,B13,1,1,NA,NA,,32.2,
213,B,Biomass,B14,1,0,NA,NA,,12.9,
213,B,Biomass,B15,1,1,NA,NA,,36.4,
213,B,Biomass,B16,0,1,NA,NA,,107.8,
213,B,Biomass,B17,0,1,NA,NA,,62.7,
213,B,Biomass,B18,0,1,NA,NA,,27.7,
220,F,Canopy,F19,1,0,1.7,1.4,,NA,
220,F,Canopy,F20,0,0,1.4,0,b,NA,
220,F,Canopy,F21,0,1,0.95,0.95,,NA,
220,B,Canopy,B19,0,0,1.6,0,b,NA,
220,B,Canopy,B20,0,0,1.4,0,b,NA,
220,B,Canopy,B21,0,1,1.1,1.1,,NA,
228,F,Canopy,F19,0,0,1.5,0,b,NA,
228,F,Canopy,F20,0,0,1.4,0,b,NA,
228,F,Canopy,F21,0,1,1.05,1.05,,NA,
228,B,Canopy,B19,0,0,1.6,0,b,NA,
228,B,Canopy,B20,0,0,1.45,0,b,NA,
228,B,Canopy,B21,0,1,1.1,1.1,,NA,
228,F,Biomass,F1,1,1,NA,NA,,5.3,
228,F,Biomass,F2,1,0,NA,NA,,19.5,
228,F,Biomass,F3,1,1,NA,NA,,22.9,
228,F,Biomass,F4,1,1,NA,NA,,5.3,
228,F,Biomass,F5,0,0,NA,NA,,0,b
228,F,Biomass,F6,0,1,NA,NA,,38.1,
228,F,Biomass,F7,1,1,NA,NA,,21.3,
228,F,Biomass,F8,0,0,NA,NA,,0,b
228,F,Biomass,F9,1,1,NA,NA,,69.4,
228,F,Biomass,F10,1,1,NA,NA,,11.7,
228,F,Biomass,F11,0,0,NA,NA,,0,b
228,F,Biomass,F12,1,1,NA,NA,,56,
228,F,Biomass,F13,1,1,NA,NA,,31.4,
228,F,Biomass,F14,1,1,NA,NA,,34.5,
228,F,Biomass,F15,1,1,NA,NA,,66.3,
228,F,Biomass,F16,1,1,NA,NA,,26.9,
228,F,Biomass,F17,1,1,NA,NA,,18.6,
228,F,Biomass,F18,1,1,NA,NA,,40.5,
228,B,Biomass,B1,0,1,NA,NA,,41.6,
228,B,Biomass,B2,0,1,NA,NA,,63.7,
228,B,Biomass,B3,0,1,NA,NA,,61.5,
228,B,Biomass,B4,1,1,NA,NA,,46.9,
228,B,Biomass,B5,0,0,NA,NA,,0,b
228,B,Biomass,B6,0,1,NA,NA,,29.4,
228,B,Biomass,B7,0,1,NA,NA,,40.3,
228,B,Biomass,B8,0,0,NA,NA,,0,b
228,B,Biomass,B9,1,1,NA,NA,,3.9,
228,B,Biomass,B10,1,1,NA,NA,,65.9,
228,B,Biomass,B11,0,0,NA,NA,,0,b
228,B,Biomass,B12,0,1,NA,NA,,25.7,
228,B,Biomass,B13,1,1,NA,NA,,27.4,
228,B,Biomass,B14,0,1,NA,NA,,0.8,
228,B,Biomass,B15,0,1,NA,NA,,20.4,
228,B,Biomass,B16,0,1,NA,NA,,51.8,
228,B,Biomass,B17,0,1,NA,NA,,48.7,
228,B,Biomass,B18,0,1,NA,NA,,39,
234,F,Canopy,F19,0,0,1.4,0,b,NA,
234,F,Canopy,F20,0,0,1.35,0,b,NA,
234,F,Canopy,F21,0,1,1,1,,NA,
234,B,Canopy,B19,0,0,1.6,0,b,NA,
234,B,Canopy,B20,0,0,1.35,0,b,NA,
234,B,Canopy,B21,0,1,1,1,,NA,
